FieldNumber,Priority,TAG,FieldName,Category,DataType,Definition,Guidance
AR128,Mandatory,static,Geographic Region,Property & Collateral,List,The region description of where the property is located.,This should be the International Territorial Levels (ITLs) 1 classification. See ONS Open Geography Portal for relevant choices.
AR129,Optional,static,Property Postcode ,Property & Collateral,Text,First 2 or 3 characters must be provided at a minimum. Do not supply the full postcode.,"For RMBS transactions, the Bank would accept the first 1 or 2 characters. For raw loan pools, the out-code is required. This must be a maximum of three characters, except where outcodes are four characters long."
AR130,Mandatory,static,Occupancy Type,Property & Collateral,List,Type of property occupancy: Owner-occupied (1) Partially owner-occupied (A property which is partly rented) (2) Non-owner-occupied/buy-to-let (3) Holiday/second home (4) No Data (ND),nan
AR131,Mandatory,static,Property Type,Property & Collateral,List,"Property type: Residential (House, detached or semi-detached) (1) Residential (Flat/Apartment) (2) Residential (Bungalow) (3) Residential (Terraced House) (4) Multifamily house (properties with more than four units securing one loan) with recourse to the borrower (5) Multifamily house without recourse to the borrower (6) Partially commercial use (property is used as a residence as well as for commercial use where less than 50% of its value derived from commercial use, e.g. doctor’s surgery and house) (7) Commercial/business use with recourse to the borrower (8) Commercial/business use without recourse to the borrower (9) Land Only (10) Other (11) No Data (ND)",nan
AR132,Optional,static,New Property,Property & Collateral,List,New property specifications: New build (1) Existing building (2) Other (3) No Data (ND),nan
AR133,Optional,static,Construction Year,Property & Collateral,Numeric,"Indicate the year when the property was originally built (YYYY format). In the case of a conversion of a building into flats, the date of conversion should be supplied","N.B, Year of construction, not full date."
AR134,Optional,static,Property Rating,Property & Collateral,Text / ND,Internal rating of property or credit scoring of property,nan
AR135,Mandatory,static,Original Loan to Value,Property & Collateral,Numeric,Originator’s original underwritten Loan To Value ratio (LTV). For 2nd lien loans this should be the combined or total LTV.,"Percentage, to be reported in decimal format."
AR136,Mandatory,static,Valuation Amount,Property & Collateral,Numeric,Property value as of date of latest loan advance prior to a securitisation. Valuation amounts should be in the same currency as the loan (field AR65).,"For portfolios of raw loans, this should be the valuation amount at the last full valuation (not indexed)."
AR137,Mandatory,static,Original Valuation Type,Property & Collateral,List,"Valuation type at origination: Full, internal and external inspection (1) Full, only external inspection (2) Drive-by (3) AVM (flag as AVM only if this type of valuation has been used for origination purposes) (4) Indexed (5) Desktop (6) Managing Agent / Estate Agent (7) Tax Authority (8) Other (9) No Data (ND)",AR137-AR138 should relate to the valuation amount provided at AR136. Such valuation can be either as at origination or as at the most recent advance date. Details of what is being computed should be detailed in the glossary
AR138,Mandatory,static, Valuation Date,Property & Collateral,Date,Date of latest property valuation at time of latest loan advance prior to a securitisation.,AR137-AR138 should relate to the valuation amount provided at AR136. For RMBS securitisations: such valuation can be either as at origination or as at the most recent advance date. Details of what is being computed should be detailed in the glossary.
AR139,Optional,static,Confidence Interval for Original Automated Valuation Model Valuation,Property & Collateral,Numeric,Confidence interval for original valuation if valuation method is Automated Valuation Model (AVM),"Percentage, to be reported in decimal format."
AR140,Optional,static,Provider of Original Automated Valuation Model Valuation,Property & Collateral,Text / ND,Name of Automated Valuation Model (AVM) provider if original valuation method is AVM,nan
AR141,Mandatory,dynamic,Current Loan to Value,Property & Collateral,Numeric,Originator’s current Loan to Value ratio (LTV). For 2nd lien loans this should be the combined or total LTV,"Percentage, to be reported in decimal format."
AR142,Optional,Static,Purchase Price,Property & Collateral,Numeric,Original purchase price of the property. If no data available specify as No Data (ND).,nan
AR143,Mandatory,dynamic,Current Valuation Amount,Property & Collateral,Numeric ,"Most recent valuation amount (if e.g. at repossession there were multiple valuations, this should reflect the lowest). If no update, specify as No Data (ND). Valuation amounts should be in the same currency as the loan (field AR65)",nan
AR144,Mandatory,dynamic,Current Valuation Type,Property & Collateral,List,"Valuation type at origination: Full, internal and external inspection (1) Full, only external inspection (2) Drive-by (3) AVM (flag as AVM only if this type of valuation has been used for origination purposes) (4) Indexed (5) Desktop (6) Managing Agent / Estate Agent (7) Tax Authority (8) Other (9) No Data (ND)",The latest valuation type applicable to the valuation provided in field AR143 should be provided
AR145,Mandatory,dynamic,Current Valuation Date,Property & Collateral,Date,The date of most recent valuation,nan
AR146,Optional,dynamic,Confidence Interval for Current Automated Valuation Model Valuation,Property & Collateral,Numeric,List the Automated Valuation Model (AVM) supplier's confidence value for the most recent valuation,"Percentage, to be reported in decimal format."
AR147,Optional,dynamic,Provider of Current Automated Valuation Model Valuation,Property & Collateral,Text,Name of Automated Valuation Model (AVM) provider if current valuation method is AVM,nan
AR148,Optional,dynamic,Property Value at Time of Latest Loan Advance,Property & Collateral,Numeric,Property value at the time of the last advance. Valuation amounts should be in the same currency as the loan (field AR65),nan
AR149,Optional,static,Indexed Foreclosure Value,Property & Collateral,Numeric / ND,"The foreclosure value of the property, including indexation. If no data available state No Data (ND)",Name of index used should be detailed in the glossary
AR150,Optional,static,Ipoteca,Property & Collateral,Numeric / ND,The ipoteca value of the property. If no data available state No Data (ND),nan
AR151,Optional,static,Date of Sale,Property & Collateral,Date,The date of sale of the foreclosed property,nan
AR152,Optional,static,Additional Collateral,Property & Collateral,List,Type of additional collateral: Savings Balance (1) Life Insurances (2) Investments (3) Pledged Properties (4) Other (5) No Data (ND),nan
AR153,Optional,static,Additional Collateral Provider,Property & Collateral,Text,Provider of additional collateral (i.e. bank or insurance company),nan
AR154,Mandatory,static,Gross Annual Rental Income,Property & Collateral,Numeric,Gross Annual Rental income for Buy To Let (BTL) properties,Only mandatory for Buy-to-let mortgages
AR155,Mandatory,static,Number of Buy to Let Properties,Property & Collateral,Numeric,"Total number of properties in portfolio, including those mortgaged with other lenders (BTL loans only)","Only mandatory for Buy-to-let mortgages, to the extent captured"
AR156,Mandatory,static,Debt Service Coverage Ratio,Property & Collateral,Text/Numeric,For Buy to Lets the Debt Service Coverage Ratio (DSCR) - Monthly Gross Rental Income divided by the Mortgage Payment For borrowers the DSCR is the Monthly Income divided by the Mortgage Payment.,Only mandatory for Buy-to-let mortgages
AR157,Optional,dynamic,Additional Collateral Value,Property & Collateral,Numeric,Value of additional collateral,nan
AR158,Optional,dynamic,Real Estate Owned,Property & Collateral,Y / N / ND,Is the property owned by the Structure / Fund,nan
AR159,Optional,static,Is Property Transferability Limited,Property & Collateral,Y / N / ND,"For Officially-sponsored Housing (Spanish initials, Vivienda de Protección Oficial (VPO) loans, whether the property transferability is limited",nan
AR160,Optional,dynamic,Time Until Declassification,Property & Collateral,Numeric,"For Spanish Vivienda de Protección Oficial (VPO) loans, time (in months) until property will be declassified as VPO property",nan
AR161,,,Blank,Property & Collateral,,nan,nan
AR162,Mandatory,dynamic,Current Energy Performance Certificate Value ,Property & Collateral,List,Latest current Energy Performance Certificate (EPC) rating for the property: Energy Performance Certificate A (A) Energy Performance Certificate B (B) Energy Performance Certificate C (C) Energy Performance Certificate D (D) Energy Performance Certificate E (E) Energy Performance Certificate F (F) Energy Performance Certificate G (G) Confirmed that property is not required to have EPC rating (NR) Unknown / no data (ND),"Please do not submit any ‘modelled’ EPC ratings information. EPC ratings information should be either based on information provided at the time of underwriting, or the public EPC databases for properties in England, Wales, and Northern Ireland or Scotland. In cases where you cannot obtain data and know that the property is not required to have an EPC rating (eg because the property was bought before 2008) please select ‘NR’ (No Rating). In cases where you cannot obtain data but are unable to confirm that the property is not required to have an EPC rating please select ‘ND’ (No Data)."
AR163,Mandatory,dynamic,Potential Energy Performance Certificate Value ,Property & Collateral,List,Latest potential Energy Performance Certificate (EPC) rating for the property: Energy Performance Certificate A (A) Energy Performance Certificate B (B) Energy Performance Certificate C (C) Energy Performance Certificate D (D) Energy Performance Certificate E (E) Energy Performance Certificate F (F) Energy Performance Certificate G (G) Confirmed that property is not required to have EPC rating (NR) Unknown / no data (ND),"Please do not submit any ‘modelled’ EPC ratings information. EPC ratings information should be either based on information provided at the time of underwriting, or the public EPC databases for properties in England, Wales, and Northern Ireland or Scotland. In cases where you cannot obtain data and know that the property is not required to have an EPC rating (eg because the property was bought before 2008) please select ‘NR’ (No Rating). In cases where you cannot obtain data but are unable to confirm that the property is not required to have an EPC rating please select ‘ND’ (No Data)."
AR164,Mandatory,dynamic,Exemption from Energy Efficiency Regulation,Property & Collateral,Y / ND,Flag if you can confirm that a property benefits from the exemptions in Chapter 4 of 'The Energy Efficiency (Private Rented Property) (England and Wales) Regulations 2015'.,Only select 'Y' (Yes) to the extent that you can confirm that a property benefits from the exemptions in Chapter 4 of 'The Energy Efficiency (Private Rented Property) (England and Wales) Regulations 2015'. In all other cases you should select ‘ND’ (No data). This includes cases where the property is not subject to the regulationn.
AR165,,,Blank,Property & Collateral,,nan,nan
AR166,Mandatory,dynamic,Account Status,Performance,List,Current status of account: Performing (1) Arrears (2) Default or Foreclosure (3) Redeemed (4) Repurchased by Seller (5) Other (6) No Data (ND),Loans with any arrears greater than £0.00 should be marked as status '2'. Those in a performing forbearance arrangement but with uncleared arrears outstanding should remain classified as '2'.
AR167,Optional,dynamic,Date Last Current,Performance,Date,"If the borrower is in arrears, the date they were last current",nan
AR168,Optional,dynamic,Date Last in Arrears,Performance,Date / ND,Date the borrower was last in arrears. If the borrower is current the date they were last in arrears. If no data available specify No Data (ND),nan
AR169,Mandatory,dynamic,Arrears Balance,Performance,Numeric,Current balance of arrears. Arrears defined as: Total payments due to date LESS Total payments received to date LESS any amounts capitalised. This should not include any fees applied to the account,Issuers should provide the definition of 'arrears' in the reporting glossary. Arrears balances should be shortfalls in the accumulated total payments actually made by the customer measured against the accumulated total amount of payments due. This should not be restricted to FCA 'reportable arrears' of those greater than 2.5% balance. This field should not be populated with Pre-Payments. Complete using non-negative numbers.
AR170,Mandatory,dynamic,Number Months in Arrears,Performance,Numeric,Number of months this loan is in arrears (at pool cut off date) according to the definition of the issuer,"This should be defined as the number of monthly payment shortfalls. For example one full missed payment that occurred six months ago is 1m in arrears not 6m. Where possible fractions should also be reported in decimal format, for example to identify those in arrears but less than 1m."
AR171,Mandatory,dynamic,Arrears 1 Month Ago,Performance,Numeric,Arrears balance (defined as per ‘arrears balance’) for the previous month,Arrears balances should be shortfalls in the accumulated total payments actually made by the customer measured against the accumulated total amount of payments due. This should not be restricted to FCA 'reportable arrears' of those greater than 2.5% balance.
AR172,Mandatory,dynamic,Arrears 2 Months Ago,Performance,Numeric,Arrears balance (defined as per ‘arrears balance’) two months ago,Arrears balances should be shortfalls in the accumulated total payments actually made by the customer measured against the accumulated total amount of payments due. This should not be restricted to FCA 'reportable arrears' of those greater than 2.5% balance.
AR173,Mandatory,dynamic,Performance Arrangement,Performance,Date,The date when the borrower had an arrangement put in place to reduce the balance of any arrears whilst maintaining their current payment. If no data available specify No Data (ND).,A performance arrangement would be considered as any change to the terms of the loan as detailed in AR122 and AR123.
AR174,Mandatory,dynamic,Litigation,Performance,Y / N / ND,Flag to indicate litigation proceedings underway (if account has recovered and is no longer being actively litigated this should be re-set to N),nan
AR175,Mandatory,dynamic,Redemption Date,Performance,Date,Date on which account redeemed,"The Bank will require information on redeemed mortgages continues to be reported for one reporting period. If accounts are removed from the assigned portfolio on redemption, Issuers may wish to remove them from reporting after this period"
AR176,Optional,dynamic,Months in Arrears Prior,Performance,Numeric,Number of months in arrears at month end prior to redemption. This is to capture the arrears amount prior to the mortgage redeeming,nan
AR177,Mandatory,dynamic,Default or Foreclosure,Performance,Numeric,Total default amount before the application of sale proceeds and recoveries.,nan
AR178,Mandatory,dynamic,Date of Default,Performance,Numeric,The date of default or foreclosure.,nan
AR179,Mandatory,dynamic,Sale Price,Performance,Numeric,Price achieved on sale of property in case of foreclosure,nan
AR180,Mandatory,dynamic,Loss on Sale,Performance,Numeric,"Total loss net of fees, accrued interest etc. after application of sale proceeds (excluding prepayment charge if subordinate to principal recoveries). Show any gain on sale as a negative number",Gain on sale only applicable to the extent transaction benefits from such gain.
AR181,Mandatory,dynamic,Cumulative Recoveries,Performance,Numeric,Cumulative recoveries – only relevant for cases with losses,Recoveries payable to Issuer should be reported here
AR182,Optional,dynamic,Professional Negligence Recoveries,Performance,Numeric,"Any amounts received in settlement or as a result of professional negligence claims against surveyors, solicitors etc. net of any fees / costs",nan
AR183,Optional,dynamic,Loan flagged as Contencioso,Performance,Y / N / ND,Flag to identify if borrower has entered 'Contencioso' status. Applicable only in Spain,nan
AR184,,,Blank,Performance,,nan,nan
AR185,,,Blank,Performance,,nan,nan
AR186,,,Blank,Performance,,nan,nan
AR187,,,Blank,Performance,,nan,nan
AR188,,,Blank,Performance,,nan,nan
AR189,Mandatory,static,Second Borrower's Employment Status,Borrower Information,List,"Employment status of the primary applicant: Employed or full loan is guaranteed (1) Employed with partial support (company subsidy) (2) Protected life-time employment (Civil/government servant) (3) Unemployed (4) Self-employed (5) No employment, borrower is legal entity (6) Student (7) Pensioner (8) Other (9) No Data (ND)",In relation to the secondary borrower and latest available information
AR190,Optional,static,Class of Second Borrower,Borrower Information,Text,Class of borrower based on credit scoring or other classification,Relevant to secondary borrower only. List of class definitions used to be explained in the reporting glossary
AR191,Optional,static,Resident (Second Borrower),Borrower Information,List,Whether borrower is resident of the country: Resident less than 3 years (1) Resident >= 3 years (2) Not Resident (3) No Data (ND),Relevant to secondary borrower only
AR192,Mandatory,static,Number of County Court Judgements or equivalent  - Satisfied (Second Borrower),Borrower Information,Numeric,Number of County Court Judgements (CCJs) or equivalent in particular jurisdiction (typically a default or court proceedings flag in continental Europe) - recorded against the primary borrower that were satisfied (the balance cleared) at time of underwriting,Relevant to secondary borrower only. Either field AR192 or AR193 can be provided if both are not available
AR193,Mandatory,static,Value of County Court Judgements or equivalent - Satisfied  (Second Borrower),Borrower Information,Numeric,Total value of CCJs or equivalent recorded against the primary borrower that were satisfied at time of underwriting,Relevant to secondary borrower only. Either field AR192 or AR193 can be provided if both are not available
AR194,Mandatory,static,Number of County Court Judgements or equivalent - Unsatisfied  (Second Borrower),Borrower Information,Numeric,Number of CCJs or equivalent recorded against the primary borrower that were unsatisfied at time of underwriting,Relevant to secondary borrower only. Either field AR194 or AR195 can be provided if both are not available
AR195,Mandatory,static,Value of County Court Judgements or equivalent - Unsatisfied  (Second Borrower),Borrower Information,Numeric,Total value of CCJs or equivalent recorded against the primary borrower that were unsatisfied at time of underwriting,Relevant to secondary borrower only. Either field AR194 or AR195 can be provided if both are not available
AR196,Optional,static,Last County Court Judgements or equivalent – Date  (Second Borrower),Borrower Information,Date / ND,Date last CCJ or equivalent was registered against the primary borrower regardless of satisfied or not,Relevant to secondary borrower only
AR197,Mandatory,dynamic,Bankruptcy or Individual Voluntary Arrangement Flag (Second Borrower),Borrower Information,Y / N / ND,Flag to identify if borrower has been bankrupt or had an Individual Voluntary Arrangement (IVA) or equivalent.,"Relevant to secondary borrower only. To be updated on a monthly basis in the case of raw loan pools. If updated Bankruptcy data are not regularly collected, BoE does not expect you to start collecting this. However, where data are available or you are notified of a borrower bankruptcy, this should be reported in the relevant fields."
AR198,Optional,static,Bureau Krediet Registratie 1 to 10 - Credit Type (Second Borrower),Borrower Information,List,Credit type according to the coding of Bureau Krediet Registratie (BKR) (Netherlands only) AK - Loans which have to pay back in a predefined period RK - Loans with a maximum credit amount SR - Loan with the aim to re-arrange previous credits VK - Credit maximum with respect to goods ordered with mail-order companies HY - mortgage loans TC - telecom credits RO - Other credit ND - No Data,Relevant to secondary borrower only
AR199,Optional,static,Bureau Krediet Registratie 1 to 10- Registration Date (Second Borrower),Borrower Information,Date,Registration date of the BKR,Relevant to secondary borrower only
AR200,Optional,static,Bureau Krediet Registratie 1 to 10 - Arrears Code  (Second Borrower),Borrower Information,List,Arrears code according to the coding of Bureau Krediet Registratie (BKR) (Netherlands only) A - arrears AH - arrears repaid A1 - settlement reached A2 - remaining outstanding is summoned A3 - an amount > Euro 250 is depreciated A4 - person disappeared ND - No Data,Relevant to secondary borrower only
AR201,Optional,static,Bureau Krediet Registratie 1 to 10 - Credit Amount  (Second Borrower),Borrower Information,Numeric,Amount of the credit (Netherlands only),Relevant to secondary borrower only
AR202,Optional,static,Bureau Krediet Registratie 1 to 10 - Is Coding Cured?  (Second Borrower),Borrower Information,Y / N / ND,Is the coding with BKR cured? (Netherlands only),Relevant to secondary borrower only
AR203,Optional,static,Bureau Krediet Registratie 1 to 10 - Number of Months Since Cured  (Second Borrower),Borrower Information,Numeric,"If the coding is cured, number of months since it is cured (Netherlands only)",Relevant to secondary borrower only
AR204,Mandatory,dynamic,Bureau Score Provider  (Second Borrower),Borrower Information,List,Who has provided the score. For continental Europe give name of provider: Callcredit (1) Experian (2) Equifax (3) Schufa (4) Bureau Krediet Registratie (BKR) (5) Internal Score (6) Other (7) No Data (ND),Relevant to secondary borrower only
AR205,Mandatory,dynamic,Bureau Score Type  (Second Borrower),Borrower Information,List,Type of scorecard provided: Generation 8 B&F AAM - DCM (Experian) (1) Generation 8 B&F CRS - DCM (Experian) (2) Generation 7 Mortgage PD Score - DCM (Experian) (3) FSC109 - Risk Navigator (Equifax) (4) RNILF02 - Risk Navigator (Equifax) (5) RNISF02 - Risk Navigator (Equifax) (6) Internal Scorecard (7) Other (8) No Data (ND),Relevant to secondary borrower only
AR206,Mandatory,dynamic,Bureau Score Date  (Second Borrower),Borrower Information,Date,The date of the bureau score for this borrower,Relevant to secondary borrower only
AR207,Mandatory,dynamic,Bureau Score Value  (Second Borrower),Borrower Information,Text/Numeric,Borrower's score: >0 Regular Score -999 CAIS for mortgage not available -998 Notice of Correction or Notice of Dispute 0 Bankruptcy Restriction Order or Bankruptcy Restriction Undertaking ND - No Data,Relevant to secondary borrower only
AR208,Optional,static,Prior Repossessions (Second Borrower),Borrower Information,Y / N / ND,Indicator of prior repossessions resulting from a borrower defaulting on a previous mortgage loan,Applicable to secondary borrower only
AR209,Optional,static,Previous Mortgage Arrears 0-6 Months (Second Borrower),Borrower Information,Numeric / ND,Number of payments missed on previous mortgage in the prior 0-6 months (information as at underwriting). If no data available specify No Data (ND),Applicable to secondary borrower only
AR210,Optional,static,Previous Mortgage Arrears 6+ Months (Second Borrower),Borrower Information,Numeric / ND,"Number of payments missed on previous mortgage in the prior months, greater or equal than 6 months (information as at underwriting) If no data available specify No Data (ND)",Applicable to secondary borrower only
AR211,Optional,static,Bureau Krediet Registratie 1 to 10 - Credit Type (Primary Borrower - At Origination),Borrower Information (At Origination),List,Credit type according to the coding of Bureau Krediet Registratie (BKR) (Netherlands only) AK - Loans which have to pay back in a predefined period RK - Loans with a maximum credit amount SR - Loan with the aim to re-arrange previous credits VK - Credit maximum with respect to goods ordered with mail-order companies HY - mortgage loans TC - telecom credits RO - Other credit ND - No Data,Applicable to primary borrower only. The score provided should be within 3 months of origination.
AR213,Optional,static,Bureau Krediet Registratie 1 to 10 - Arrears Code (Primary Borrower - At Origination),Borrower Information (At Origination),List,Arrears code according to the coding of Bureau Krediet Registratie (BKR) (Netherlands only) A - arrears AH - arrears repaid A1 - settlement reached A2 - remaining outstanding is summoned A3 - an amount > Euro 250 is depreciated A4 - person disappeared ND - No Data,Applicable to primary borrower only. The score provided should be within 3 months of origination.
AR214,Optional,static,Bureau Krediet Registratie 1 to 10 - Credit Amount (Primary Borrower - At Origination),Borrower Information (At Origination),Numeric,Amount of the credit (Netherlands only),Applicable to primary borrower only. The score provided should be within 3 months of origination.
AR215,Optional,static,Bureau Krediet Registratie 1 to 10 - Is Coding Cured? (Primary Borrower - At Origination),Borrower Information (At Origination),Y / N / ND,Is the coding with BKR cured? (Netherlands only),Applicable to primary borrower only. The score provided should be within 3 months of origination.
AR216,Optional,static,Bureau Krediet Registratie 1 to 10 - Number of Months Since Cured (Primary Borrower - At Origination),Borrower Information (At Origination),Numeric,"If the coding is cured, number of months since it is cured (Netherlands only)",Applicable to primary borrower only. The score provided should be within 3 months of origination.
AR217,Mandatory,static,Bureau Score Provider (Primary Borrower - At Origination),Borrower Information (At Origination),List,Who has provided the score. For continental Europe give name of provider: Callcredit (1) Experian (2) Equifax (3) Schufa (4) Bureau Krediet Registratie (BKR) (5) Internal Score (6) Other (7) No Data (ND),Applicable to primary borrower only. The score provided should be within 3 months of origination.
AR218,Mandatory,static,Bureau Score Type (Primary Borrower - At Origination),Borrower Information (At Origination),List,Type of scorecard provided: Generation 8 B&F AAM - DCM (Experian) (1) Generation 8 B&F CRS - DCM (Experian) (2) Generation 7 Mortgage PD Score - DCM (Experian) (3) FSC109 - Risk Navigator (Equifax) (4) RNILF02 - Risk Navigator (Equifax) (5) RNISF02 - Risk Navigator (Equifax) (6) Internal Scorecard (7) Other (8) No Data (ND),Applicable to primary borrower only. The score provided should be within 3 months of origination.
AR220,Mandatory,static,Bureau Score Value (Primary Borrower - At Origination),Borrower Information (At Origination),Text/Numeric,Borrower's score: >0 Regular Score -999 CAIS for mortgage not available -998 Notice of Correction or Notice of Dispute 0 Bankruptcy Restriction Order or Bankruptcy Restriction Undertaking ND - No Data,Applicable to primary borrower only. The score provided should be within 3 months of origination.
AR221,Optional,static,Bureau Krediet Registratie 1 to 10 - Credit Type (Secondary Borrower - At Origination),Borrower Information (At Origination),List,Credit type according to the coding of Bureau Krediet Registratie (BKR) (Netherlands only) AK - Loans which have to pay back in a predefined period RK - Loans with a maximum credit amount SR - Loan with the aim to re-arrange previous credits VK - Credit maximum with respect to goods ordered with mail-order companies HY - mortgage loans TC - telecom credits RO - Other credit ND - No Data,Applicable to secondary borrower only. The score provided should be within 3 months of origination.
AR222,Optional,static,Bureau Krediet Registratie 1 to 10- Registration Date (Secondary Borrower - At Origination),Borrower Information (At Origination),Date,Registration date of the BKR,Applicable to secondary borrower only. The score provided should be within 3 months of origination.
AR223,Optional,static,Bureau Krediet Registratie 1 to 10 - Arrears Code (Secondary Borrower - At Origination),Borrower Information (At Origination),List,Arrears code according to the coding of Bureau Krediet Registratie (BKR) (Netherlands only) A - arrears AH - arrears repaid A1 - settlement reached A2 - remaining outstanding is summoned A3 - an amount > Euro 250 is depreciated A4 - person disappeared ND - No Data,Applicable to secondary borrower only. The score provided should be within 3 months of origination.
AR224,Optional,static,Bureau Krediet Registratie 1 to 10 - Credit Amount (Secondary Borrower - At Origination),Borrower Information (At Origination),Numeric,Amount of the credit (Netherlands only),Applicable to secondary borrower only. The score provided should be within 3 months of origination.
AR225,Optional,static,Bureau Krediet Registratie 1 to 10 - Is Coding Cured? (Secondary Borrower - At Origination),Borrower Information (At Origination),Y / N / ND,Is the coding with BKR cured? (Netherlands only),Applicable to secondary borrower only. The score provided should be within 3 months of origination.
AR226,Optional,static,Bureau Krediet Registratie 1 to 10 - Number of Months Since Cured (Secondary Borrower - At Origination),Borrower Information (At Origination),Numeric,"If the coding is cured, number of months since it is cured (Netherlands only)",Applicable to secondary borrower only. The score provided should be within 3 months of origination.
AR227,Mandatory,static,Bureau Score Provider  (Secondary Borrower - At Origination),Borrower Information (At Origination),List,Who has provided the score. For continental Europe give name of provider: Callcredit (1) Experian (2) Equifax (3) Schufa (4) Bureau Krediet Registratie (BKR) (5) Internal Score (6) Other (7) No Data (ND),Applicable to secondary borrower only. The score provided should be within 3 months of origination.
AR228,Mandatory,static,Bureau Score Type  (Secondary Borrower - At Origination),Borrower Information (At Origination),List,Type of scorecard provided: Generation 8 B&F AAM - DCM (Experian) (1) Generation 8 B&F CRS - DCM (Experian) (2) Generation 7 Mortgage PD Score - DCM (Experian) (3) FSC109 - Risk Navigator (Equifax) (4) RNILF02 - Risk Navigator (Equifax) (5) RNISF02 - Risk Navigator (Equifax) (6) Internal Scorecard (7) Other (8) No Data (ND),Applicable to secondary borrower only. The score provided should be within 3 months of origination.
AR230,Mandatory,static,Bureau Score Value (Secondary Borrower - At Origination),Borrower Information (At Origination),Text/Numeric,Borrower's score: >0 Regular Score -999 CAIS for mortgage not available -998 Notice of Correction or Notice of Dispute 0 Bankruptcy Restriction Order or Bankruptcy Restriction Undertaking ND - No Data,The score provided should be within 3 months of origination
AR231,Optional,static,Borrower Type (Secondary Borrower),Borrower Information,List,The type of borrower IND - individual COM - commercial SCI - Société Civile Immobilière ND - No Data,Applicable to secondary borrower only. The score provided should be within 3 months of origination.
AR232,Optional,static,Foreign National (Secondary Borrower),Borrower Information,Y / N / ND,Indicating whether the borrower is a national of the country in which the property and mortgage loan resides.,Applicable to secondary borrower only. The score provided should be within 3 months of origination.
AR233,Optional,static,Borrower Credit Quality (Secondary Borrower),Borrower Information,Text,Originators own definition of borrower credit quality Free text using originator own terms ND - No Data,"Consistent terminology (e.g.. prime, sub-prime, etc.) should be used by each Issuer with definitions / explanations provided in the reporting glossary. The Score provided should be within 3 months of origination."
AR234,Optional,static,First-time Buyer (Secondary Borrower),Borrower Information,Y / N / ND,First time buyer flag,Applicable to secondary borrower only. The score provided should be within 3 months of origination.
AR235,Mandatory,static,Bankruptcy or Individual Voluntary Arrangement Flag,Borrower Information,Y / N / ND,Flag to identify if borrower has been bankrupt or had an Individual Voluntary Arrangement (IVA) or equivalent.,Relates to primary borrower only. To be completed with data correct as at the date the loan was originated.
AR236,Mandatory,static,Bankruptcy or Individual Voluntary Arrangement Flag (Second Borrower),Borrower Information,Y / N / ND,Flag to identify if borrower has been bankrupt or had an Individual Voluntary Arrangement (IVA) or equivalent.,Relates to secondary borrower only. To be completed with data correct as at the date the loan was originated.
